DDI,sequence_num,auc,blAUC,diffAUC
PF00004.21_int_PF09336.2,1,0.838,0.854,-0.016
PF00004.21_int_PF09336.2,2,0.941,0.821,0.12
PF00004.21_int_PF09336.2,7,0.876,0.978,-0.102
PF00017.16_int_PF00018.20,1,0.864,0.889,-0.025
PF00017.16_int_PF00018.20,2,0.827,0.765,0.062
PF00017.16_int_PF00018.20,4,0.909,0.876,0.033
PF00017.16_int_PF00018.20,5,0.922,0.562,0.36
PF00017.16_int_PF00018.20,7,0.862,0.702,0.16
PF00017.16_int_PF00018.20,8,0.91,0.793,0.117
PF00017.16_int_PF00018.20,20,0.776,0.918,-0.142
PF00017.16_int_PF00018.20,21,0.833,0.938,-0.105
PF00017.16_int_PF00018.20,22,0.849,0.581,0.268
PF00025.13_int_PF00025.13,1,0.899,0.951,-0.052
PF00025.13_int_PF00025.13,2,0.966,0.941,0.025
PF00025.13_int_PF00025.13,3,1.0,1.0,0.0
PF00025.13_int_PF00025.13,6,0.917,0.951,-0.034
PF00025.13_int_PF00025.13,7,0.905,0.926,-0.021
PF00025.13_int_PF00025.13,10,0.996,0.984,0.012
PF00025.13_int_PF00025.13,11,0.815,0.696,0.119
PF00025.13_int_PF00025.13,15,0.612,0.699,-0.087
PF00025.13_int_PF00025.13,21,0.889,0.917,-0.028
PF00028.9_int_PF00028.9,1,0.554,0.975,-0.421
PF00028.9_int_PF00028.9,3,0.571,1.0,-0.429
PF00028.9_int_PF00028.9,7,0.558,0.657,-0.099
PF00028.9_int_PF00028.9,8,0.864,0.802,0.062
PF00028.9_int_PF00028.9,19,0.975,0.907,0.068
PF00028.9_int_PF00028.9,20,0.99,0.95,0.04
PF00028.9_int_PF00028.9,21,0.972,0.861,0.111
PF00028.9_int_PF00028.9,22,0.324,0.46,-0.136
PF00032.9_int_PF02271.8,1,1.0,1.0,0.0
PF00032.9_int_PF02271.8,2,1.0,0.994,0.006
PF00032.9_int_PF02271.8,5,1.0,1.0,0.0
PF00032.9_int_PF02271.8,31,1.0,1.0,0.0
PF00032.9_int_PF02939.8,1,0.998,1.0,-0.002
PF00032.9_int_PF02939.8,2,0.964,0.993,-0.029
PF00032.9_int_PF02939.8,5,0.984,0.999,-0.015
PF00032.9_int_PF02939.8,31,1.0,0.983,0.017
PF00033.11_int_PF00033.11,1,0.965,0.968,-0.003
PF00033.11_int_PF00033.11,2,0.997,0.951,0.046
PF00033.11_int_PF00033.11,5,0.958,0.95,0.008
PF00033.11_int_PF00033.11,6,0.995,0.989,0.006
PF00033.11_int_PF00033.11,9,0.988,0.981,0.007
PF00033.11_int_PF00033.11,20,0.997,1.0,-0.003
PF00033.11_int_PF00355.18,1,1.0,1.0,0.0
PF00033.11_int_PF00355.18,3,1.0,0.967,0.033
PF00033.11_int_PF00355.18,7,1.0,1.0,0.0
PF00033.11_int_PF00355.18,8,1.0,1.0,0.0
PF00033.11_int_PF00355.18,10,1.0,1.0,0.0
PF00033.11_int_PF00355.18,16,1.0,1.0,0.0
PF00033.11_int_PF00355.18,39,1.0,1.0,0.0
PF00033.11_int_PF02271.8,1,1.0,1.0,0.0
PF00033.11_int_PF02271.8,2,1.0,1.0,0.0
PF00033.11_int_PF02271.8,5,1.0,1.0,0.0
PF00033.11_int_PF02939.8,1,1.0,1.0,0.0
PF00033.11_int_PF02939.8,2,1.0,1.0,0.0
PF00033.11_int_PF02939.8,26,1.0,1.0,0.0
PF00034.13_int_PF00141.15,1,0.969,1.0,-0.031
PF00034.13_int_PF00141.15,7,0.991,1.0,-0.009
PF00034.13_int_PF02239.8,1,1.0,1.0,0.0
PF00034.13_int_PF02239.8,6,1.0,1.0,0.0
PF00051.10_int_PF00051.10,1,0.975,0.296,0.679
PF00051.10_int_PF00051.10,3,1.0,0.975,0.025
PF00051.10_int_PF00051.10,4,0.755,0.796,-0.041
PF00051.10_int_PF00051.10,5,0.85,0.64,0.21
PF00051.10_int_PF00051.10,6,0.728,0.679,0.049
PF00051.10_int_PF00051.10,11,0.679,0.862,-0.183
PF00051.10_int_PF00051.10,12,0.684,0.591,0.093
PF00051.10_int_PF00051.10,16,0.781,0.758,0.023
PF00074.12_int_PF07686.9,1,0.802,0.933,-0.131
PF00074.12_int_PF07686.9,7,0.923,0.888,0.035
PF00074.12_int_PF07686.9,8,0.686,0.336,0.35
PF00081.14_int_PF00081.14,1,0.942,0.937,0.005
PF00081.14_int_PF00081.14,2,0.852,0.84,0.012
PF00081.14_int_PF00081.14,5,0.944,1.0,-0.056
PF00081.14_int_PF00081.14,7,0.992,0.977,0.015
PF00081.14_int_PF00081.14,12,0.906,0.969,-0.063
PF00081.14_int_PF00081.14,26,1.0,1.0,0.0
PF00081.14_int_PF00081.14,40,1.0,1.0,0.0
PF00081.14_int_PF00081.14,42,0.965,0.964,0.001
PF00087.13_int_PF00087.13,1,0.883,0.928,-0.045
PF00087.13_int_PF00087.13,2,0.816,0.496,0.32
PF00087.13_int_PF00087.13,4,0.902,0.907,-0.005
PF00087.13_int_PF00087.13,5,0.833,0.959,-0.126
PF00087.13_int_PF00087.13,6,0.969,0.988,-0.019
PF00087.13_int_PF00087.13,7,0.663,0.744,-0.081
PF00087.13_int_PF00087.13,8,0.686,0.273,0.413
PF00087.13_int_PF00087.13,10,0.951,0.947,0.004
PF00087.13_int_PF00087.13,12,0.791,0.905,-0.114
PF00087.13_int_PF00087.13,16,0.948,0.845,0.103
PF00104.22_int_PF08832.2,1,0.943,0.945,-0.002
PF00104.22_int_PF08832.2,4,0.938,0.917,0.021
PF00104.22_int_PF08832.2,9,0.958,0.969,-0.011
PF00104.22_int_PF08832.2,11,0.905,0.95,-0.045
PF00127.12_int_PF06433.3,1,1.0,1.0,0.0
PF00127.12_int_PF06433.3,15,0.944,0.944,0.0
PF00127.12_int_PF06433.3,27,1.0,1.0,0.0
PF00149.20_int_PF08321.4,1,0.819,0.845,-0.026
PF00149.20_int_PF08321.4,3,0.85,0.882,-0.032
PF00167.10_int_PF07679.8,1,0.964,0.773,0.191
PF00167.10_int_PF07679.8,2,0.901,0.827,0.074
PF00167.10_int_PF07679.8,6,0.881,0.826,0.055
PF00167.10_int_PF07679.8,7,0.943,0.835,0.108
PF00167.10_int_PF07679.8,11,0.889,0.849,0.04
PF00167.10_int_PF07679.8,24,0.897,1.0,-0.103
PF00167.10_int_PF07679.8,25,0.883,0.913,-0.03
PF00167.10_int_PF07679.8,26,0.966,0.964,0.002
PF00243.10_int_PF00243.10,1,0.862,0.836,0.026
PF00243.10_int_PF00243.10,2,0.861,0.946,-0.085
PF00243.10_int_PF00243.10,3,0.917,0.894,0.023
PF00243.10_int_PF00243.10,4,0.82,0.76,0.06
PF00243.10_int_PF00243.10,7,0.835,0.81,0.025
PF00243.10_int_PF00243.10,8,0.925,0.892,0.033
PF00243.10_int_PF00243.10,12,0.903,0.912,-0.009
PF00254.20_int_PF00254.20,1,0.73,0.732,-0.002
PF00254.20_int_PF00254.20,7,0.934,0.703,0.231
PF00254.20_int_PF00254.20,9,0.655,0.413,0.242
PF00254.20_int_PF00254.20,15,0.406,0.734,-0.328
PF00254.20_int_PF00254.20,16,0.62,0.667,-0.047
PF00254.20_int_PF00254.20,18,0.364,0.835,-0.471
PF00385.16_int_PF00385.16,1,1.0,0.909,0.091
PF00385.16_int_PF00385.16,11,0.82,0.85,-0.03
PF00385.16_int_PF00385.16,13,0.741,0.889,-0.148
PF00385.16_int_PF00385.16,17,0.809,0.83,-0.021
PF00385.16_int_PF00385.16,18,0.903,0.712,0.191
PF00385.16_int_PF00385.16,19,0.803,0.693,0.11
PF00393.11_int_PF00393.11,1,0.792,0.848,-0.056
PF00393.11_int_PF00393.11,2,0.839,0.876,-0.037
PF00393.11_int_PF00393.11,5,0.918,0.891,0.027
PF00393.11_int_PF00393.11,7,0.889,0.889,0.0
PF00393.11_int_PF00393.11,11,0.903,0.904,-0.001
PF00511.9_int_PF00511.9,1,0.981,0.95,0.031
PF00511.9_int_PF00511.9,2,0.983,0.941,0.042
PF00511.9_int_PF00511.9,3,0.984,0.985,-0.001
PF00511.9_int_PF00511.9,7,0.99,0.899,0.091
PF00511.9_int_PF00511.9,9,0.956,0.959,-0.003
PF00511.9_int_PF00511.9,15,0.985,0.992,-0.007
PF00563.12_int_PF00563.12,1,0.512,0.565,-0.053
PF00563.12_int_PF00563.12,2,0.717,0.669,0.048
PF00563.12_int_PF00563.12,4,0.383,0.506,-0.123
PF00563.12_int_PF00563.12,9,0.119,0.323,-0.204
PF00617.11_int_PF00618.12,1,0.996,0.894,0.102
PF00617.11_int_PF00618.12,11,0.961,0.946,0.015
PF00711.11_int_PF00711.11,1,0.472,0.25,0.222
PF00711.11_int_PF00711.11,23,0.75,0.51,0.24
PF00712.11_int_PF02768.7,1,0.994,0.995,-0.001
PF00712.11_int_PF02768.7,7,1.0,0.99,0.01
PF00712.11_int_PF02768.7,9,1.0,1.0,0.0
PF00782.12_int_PF00782.12,1,1.0,0.917,0.083
PF00782.12_int_PF00782.12,2,0.917,0.888,0.029
PF00782.12_int_PF00782.12,3,0.273,0.545,-0.272
PF00782.12_int_PF00782.12,4,0.523,0.555,-0.032
PF00782.12_int_PF00782.12,7,0.842,0.811,0.031
PF00782.12_int_PF00782.12,11,0.669,0.754,-0.085
PF00782.12_int_PF00782.12,13,0.929,0.684,0.245
PF00782.12_int_PF00782.12,18,0.81,0.62,0.19
PF00028.9_int_PF00028.9,0.726,0.8265,-0.1005
PF00563.12_int_PF00563.12,0.43275,0.51575,-0.083
PF00254.20_int_PF00254.20,0.618166666667,0.680666666667,-0.0625
PF00149.20_int_PF08321.4,0.8345,0.8635,-0.029
PF00034.13_int_PF00141.15,0.98,1.0,-0.02
PF00393.11_int_PF00393.11,0.8682,0.8816,-0.0134
PF00081.14_int_PF00081.14,0.950125,0.960875,-0.01075
PF00104.22_int_PF08832.2,0.936,0.94525,-0.00925
PF00025.13_int_PF00025.13,0.888777777778,0.896111111111,-0.00733333333333
PF00032.9_int_PF02939.8,0.9865,0.99375,-0.00725
PF00033.11_int_PF02271.8,1.0,1.0,0.0
PF00033.11_int_PF02939.8,1.0,1.0,0.0
PF00034.13_int_PF02239.8,1.0,1.0,0.0
PF00127.12_int_PF06433.3,0.981333333333,0.981333333333,0.0
PF00004.21_int_PF09336.2,0.885,0.884333333333,0.000666666666667
PF00032.9_int_PF02271.8,1.0,0.9985,0.0015
PF00712.11_int_PF02768.7,0.998,0.995,0.003
PF00033.11_int_PF00355.18,1.0,0.995285714286,0.00471428571429
PF00033.11_int_PF00033.11,0.983333333333,0.973166666667,0.0101666666667
PF00243.10_int_PF00243.10,0.874714285714,0.864285714286,0.0104285714286
PF00782.12_int_PF00782.12,0.745375,0.72175,0.023625
PF00511.9_int_PF00511.9,0.979833333333,0.954333333333,0.0255
PF00385.16_int_PF00385.16,0.846,0.813833333333,0.0321666666667
PF00167.10_int_PF07679.8,0.9155,0.873375,0.042125
PF00087.13_int_PF00087.13,0.8442,0.7992,0.045
PF00617.11_int_PF00618.12,0.9785,0.92,0.0585
PF00017.16_int_PF00018.20,0.861333333333,0.780444444444,0.0808888888889
PF00074.12_int_PF07686.9,0.803666666667,0.719,0.0846666666667
PF00051.10_int_PF00051.10,0.8065,0.699625,0.106875
PF00711.11_int_PF00711.11,0.611,0.38,0.231
